,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,70,10,6,4,7
Lotus,15,64,7,2,4
Orchid,10,7,76,0,5
Sunflower,2,1,0,110,2
Tulip,3,5,3,2,84
