,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,46,9,13,13,16
Lotus,15,51,13,2,11
Orchid,16,10,49,4,19
Sunflower,1,0,0,113,1
Tulip,7,4,17,8,61
