,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,86,4,5,1,1
Lotus,2,82,1,0,7
Orchid,12,1,81,1,3
Sunflower,1,1,1,112,0
Tulip,4,3,4,0,86
