,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,91,4,1,0,1
Lotus,5,85,0,1,1
Orchid,8,0,87,1,2
Sunflower,0,1,0,114,0
Tulip,4,2,0,0,91
