,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,84,7,4,0,2
Lotus,3,84,1,0,4
Orchid,11,2,83,1,1
Sunflower,1,1,1,112,0
Tulip,5,7,1,0,84
