,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,50,9,14,18,6
Lotus,20,52,8,5,7
Orchid,19,8,54,9,8
Sunflower,1,0,0,113,1
Tulip,12,7,13,14,51
