,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,87,5,4,0,1
Lotus,2,84,0,0,6
Orchid,8,1,87,1,1
Sunflower,0,1,0,114,0
Tulip,2,3,1,0,91
