,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,85,7,5,0,0
Lotus,6,82,0,0,4
Orchid,6,0,91,1,0
Sunflower,1,1,2,111,0
Tulip,3,1,0,0,93
