,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,86,6,3,1,1
Lotus,3,81,1,1,6
Orchid,12,2,80,1,3
Sunflower,1,1,0,113,0
Tulip,6,5,1,0,85
