,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,86,7,3,0,1
Lotus,4,83,0,0,5
Orchid,6,0,90,1,1
Sunflower,1,1,2,111,0
Tulip,3,1,1,0,92
