,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,72,10,6,4,5
Lotus,10,72,7,3,0
Orchid,6,4,80,5,3
Sunflower,3,0,0,112,0
Tulip,3,4,3,4,83
