,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,71,9,6,4,7
Lotus,13,64,9,1,5
Orchid,15,2,75,4,2
Sunflower,3,2,0,110,0
Tulip,7,5,8,3,74
