,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,84,7,5,0,1
Lotus,5,81,0,0,6
Orchid,7,1,89,0,1
Sunflower,1,1,2,111,0
Tulip,3,1,0,1,92
