,Lilly,Lotus,Orchid,Sunflower,Tulip
Lilly,89,4,2,0,2
Lotus,3,87,0,0,2
Orchid,8,2,86,1,1
Sunflower,0,1,0,114,0
Tulip,3,4,1,0,89
